Year,Avg. Pace,Player,Team,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year
2020,99.5,Dwight Powell,DAL,10,20,31,15,4.8,3.4,1,0.7,0.4,0.8,0.563,0.1,0.3,13.6,7,0,0
2020,99.5,Dylan Windler,CLE,14,19,33,12,6.6,3.7,1.3,0.5,0.5,0.8,0.643,1.2,0.3,13.9,9.5,0,0
2020,99.5,E'Twaun Moore,PHO,4,18,31,20,5.1,1.8,1.6,0.7,0.2,0.8,0.503,0.3,0.3,16.7,5.5,0,0
2020,99.5,Ed Davis,MIN,15,19,33,7,2.3,5.1,1,0.5,0.5,0.3,0.462,0,0.3,8.4,7.3,0,0
2020,99.5,Edmond Sumner,IND,4,17,30,15,3.8,1.2,0.5,0.5,0.1,0.6,0.58,0.3,0.2,18.5,7.3,0,0
2020,99.5,Elfrid Payton,NYK,6,32,33,16,12.4,3.7,3.7,0.6,0.2,1.8,0.487,0.4,0.9,23,8.1,0,0
2020,99.5,Elijah Hughes,UTA,1,6,32,26,2.7,0.7,0.5,0.2,0.2,0.7,0.477,0.5,0,33.1,9.5,0,0
2020,99.5,Enes Kanter,POR,5,31,31,18,11.7,11.4,1.1,0.5,0.7,1.1,0.616,0,0.7,17.5,13.5,0,0
2020,99.5,Eric Bledsoe,NOP,11,31,32,14,12.5,3.4,3.5,0.7,0.3,1.7,0.553,2.1,0.2,19.1,8,0,0
2020,99.5,Eric Gordon,HOU,14,24,30,11,18.4,2.2,2.8,0.6,0.5,1.9,0.593,2.6,0.6,25.2,9.9,0,0
2020,99.5,Eric Paschall,GSW,7,30,33,18,10.1,3.3,1.3,0.2,0.1,0.9,0.573,0.4,0.5,23.2,10.7,0,0
2020,99.5,Evan Fournier,ORL,13,19,33,13,18.3,2.8,3.8,1.1,0.3,2.3,0.595,2.4,0.5,26,10.4,0,0
2020,99.5,Facundo Campazzo,DEN,8,29,32,17,5.4,1,2.1,0.9,0.2,0.8,0.568,1.1,0.4,15,6.6,0,0
2020,99.5,Frank Jackson,DET,15,9,32,9,1.8,0.9,1.1,0.1,0,0.4,0.364,0.4,0,20.8,5,0,0
2020,99.5,Frank Kaminsky,PHO,4,24,31,20,6.9,4,1.8,0.3,0.4,0.5,0.547,1,0.5,19.4,11,0,0
2020,99.5,Frank Mason III,ORL,13,4,33,13,6.3,3,3,0,0,1.3,0.462,0.5,0,17.3,5.9,0,0
2020,99.5,Frank Ntilikina,NYK,6,5,33,16,5,0.8,1,1.2,0,0.6,0.586,1.2,0.1,16.2,5.7,0,0
2020,99.5,Fred VanVleet,TOR,5,33,33,16,20,4.5,6.7,1.7,0.8,2,0.552,3.3,1.3,23.7,12,0,0
2020,99.5,Furkan Korkmaz,PHI,1,22,33,22,7.5,2.5,0.8,0.6,0.1,0.9,0.51,1.4,0.4,18.8,7.4,0,0
2020,99.5,Gabe Vincent,MIA,10,22,32,15,5.8,1,1.3,0.5,0,0.9,0.473,0.9,0.3,20.8,4.1,0,0
2020,99.5,Garrett Temple,CHI,7,30,31,15,8.9,3.2,2,1,0.6,1,0.555,1.5,0.8,13.7,5.9,0,0
2020,99.5,Garrison Mathews,WAS,12,24,30,12,7,1.5,0.5,0.8,0.2,0.2,0.648,1.5,0.3,14.3,7.9,0,0
2020,99.5,Gary Clark,ORL,13,27,33,13,3.4,3.5,0.9,0.4,0.2,0.6,0.418,0.9,0.4,9.6,3.9,0,0
2020,99.5,Gary Harris,DEN,8,19,32,17,9.7,2.5,1.7,0.9,0.2,0.7,0.544,1.3,0.3,13.8,5.2,0,0
2020,99.5,Gary Trent Jr.,POR,5,29,31,18,15.3,2.1,1.3,0.7,0.2,0.7,0.566,3.3,0,19.7,7.2,0,0
2020,99.5,George Hill,OKC,12,14,32,13,11.8,2.1,3.1,0.9,0.1,0.9,0.63,1.6,0.3,16.9,10.1,0,0
2020,99.5,Georges Niang,UTA,1,32,32,26,5.3,2.2,0.7,0.3,0.1,0.7,0.545,1.2,0.6,17.8,6.8,0,0
2020,99.5,Glenn Robinson III,SAC,13,23,32,12,5.3,2,0.9,0.2,0.1,0.5,0.554,0.7,-0.1,13.8,5.7,0,0
2020,99.5,Goga Bitadze,IND,4,14,30,15,3.9,2.1,0.2,0.2,1,0.3,0.621,0.1,0.2,16.5,7.2,0,0
2020,99.5,Goran Dragić,MIA,10,18,32,15,14.4,3,5.2,0.5,0.1,3,0.56,1.7,0.4,26.9,10.3,0,0
2020,99.5,Gordon Hayward,CHO,8,29,31,15,21.8,5.5,3.7,1.2,0.4,2,0.596,2.1,0.9,24.7,12.4,1,0
2020,99.5,Gorgui Dieng,MEM,9,21,28,14,7.7,4.5,1.3,0.8,0.7,1,0.681,1,0.5,16.4,12.4,0,0
2020,99.5,Grant Williams,BOS,9,26,32,15,5,3,1,0.5,0.4,1,0.548,0.8,0.4,12.5,3.5,0,0
2020,99.5,Grayson Allen,MEM,9,22,28,14,9.7,2.8,2.1,1,0.1,1,0.605,2.1,0.5,15.8,8.4,0,0
2020,99.5,Hamidou Diallo,OKC,12,32,32,13,11.9,5.2,2.4,1,0.4,1.5,0.536,0.4,1.1,23.1,10.3,0,0
2020,99.5,Harrison Barnes,SAC,13,29,32,12,16.1,6.1,3.3,0.8,0.2,1.5,0.624,1.7,0,17.3,11.1,0,0
2020,99.5,Harry Giles,POR,5,22,31,18,3.1,4.9,0.9,0.2,0.4,0.7,0.486,0.1,0.3,14.1,9,0,0
